,시장,티커,종목이름
181,KOSPI,030610,교보증권
182,KOSPI,339770,교촌에프앤비
183,KOSPI,007690,국도화학
184,KOSPI,005320,국동
185,KOSPI,001140,국보
186,KOSPI,002720,국제약품
187,KOSPI,083420,그린케미칼
188,KOSPI,014530,극동유화
189,KOSPI,014280,금강공업
190,KOSPI,014285,금강공업우
191,KOSPI,008870,금비
192,KOSPI,001570,금양
193,KOSPI,002990,금호건설
194,KOSPI,002995,금호건설우
195,KOSPI,011780,금호석유
196,KOSPI,011785,금호석유우
197,KOSPI,214330,금호에이치티
198,KOSPI,001210,금호전기
199,KOSPI,073240,금호타이어
200,KOSPI,092440,기신정기
201,KOSPI,000270,기아
202,KOSPI,024110,기업은행
203,KOSPI,013700,까뮤이앤씨
204,KOSPI,004540,깨끗한나라
205,KOSPI,004545,깨끗한나라우
206,KOSPI,001260,남광토건
207,KOSPI,008350,남선알미늄
208,KOSPI,008355,남선알미우
209,KOSPI,004270,남성
210,KOSPI,003920,남양유업
211,KOSPI,003925,남양유업우
212,KOSPI,025860,남해화학
213,KOSPI,005720,넥센
214,KOSPI,005725,넥센우
215,KOSPI,002350,넥센타이어
216,KOSPI,002355,넥센타이어1우B
217,KOSPI,003580,넥스트사이언스
218,KOSPI,251270,넷마블
219,KOSPI,090350,노루페인트
220,KOSPI,090355,노루페인트우
221,KOSPI,000320,노루홀딩스
222,KOSPI,000325,노루홀딩스우
223,KOSPI,006280,녹십자
224,KOSPI,005250,녹십자홀딩스
225,KOSPI,005257,녹십자홀딩스2우
226,KOSPI,004370,농심
227,KOSPI,072710,농심홀딩스
228,KOSPI,058730,다스코
229,KOSPI,023590,다우기술
230,KOSPI,145210,다이나믹디자인
231,KOSPI,019680,대교
232,KOSPI,019685,대교우B
233,KOSPI,006370,대구백화점
234,KOSPI,008060,대덕
235,KOSPI,00806K,대덕1우
236,KOSPI,353200,대덕전자
237,KOSPI,35320K,대덕전자1우
238,KOSPI,000490,대동
239,KOSPI,008110,대동전자
240,KOSPI,005750,대림B&Co
241,KOSPI,006570,대림통상
242,KOSPI,001680,대상
243,KOSPI,001685,대상우
244,KOSPI,084690,대상홀딩스
245,KOSPI,084695,대상홀딩스우
246,KOSPI,128820,대성산업
247,KOSPI,117580,대성에너지
248,KOSPI,016710,대성홀딩스
249,KOSPI,003540,대신증권
250,KOSPI,003547,대신증권2우B
251,KOSPI,003545,대신증권우
252,KOSPI,009190,대양금속
253,KOSPI,014160,대영포장
254,KOSPI,047040,대우건설
255,KOSPI,009320,대우부품
256,KOSPI,042660,대우조선해양
257,KOSPI,003090,대웅
258,KOSPI,069620,대웅제약
259,KOSPI,000430,대원강업
260,KOSPI,006340,대원전선
261,KOSPI,006345,대원전선우
262,KOSPI,003220,대원제약
263,KOSPI,024890,대원화성
264,KOSPI,002880,대유에이텍
265,KOSPI,000300,대유플러스
266,KOSPI,012800,대창
267,KOSPI,015230,대창단조
268,KOSPI,001070,대한방직
269,KOSPI,006650,대한유화
270,KOSPI,001440,대한전선
271,KOSPI,084010,대한제강
272,KOSPI,001790,대한제당
273,KOSPI,001795,대한제당우
274,KOSPI,001130,대한제분
275,KOSPI,003490,대한항공
276,KOSPI,003495,대한항공우
277,KOSPI,005880,대한해운
278,KOSPI,003830,대한화섬
279,KOSPI,016090,대현
280,KOSPI,069460,대호에이엘
281,KOSPI,192080,더블유게임즈
282,KOSPI,012510,더존비즈온
283,KOSPI,004830,덕성
284,KOSPI,004835,덕성우
285,KOSPI,024900,덕양산업
286,KOSPI,145720,덴티움
287,KOSPI,002150,도화엔지니어링
288,KOSPI,001230,동국제강
289,KOSPI,023450,동남합성
290,KOSPI,004140,동방
291,KOSPI,007590,동방아그로
292,KOSPI,005960,동부건설
293,KOSPI,005965,동부건설우
294,KOSPI,026960,동서
295,KOSPI,002210,동성제약
296,KOSPI,102260,동성케미컬
297,KOSPI,000640,동아쏘시오홀딩스
298,KOSPI,170900,동아에스티
299,KOSPI,028100,동아지질
300,KOSPI,282690,동아타이어
301,KOSPI,001520,동양
302,KOSPI,001527,동양2우B
303,KOSPI,001529,동양3우B
304,KOSPI,084670,동양고속
305,KOSPI,082640,동양생명
306,KOSPI,001525,동양우
307,KOSPI,008970,동양철관
308,KOSPI,092780,동양피스톤
309,KOSPI,049770,동원F&B
310,KOSPI,018500,동원금속
311,KOSPI,006040,동원산업
312,KOSPI,030720,동원수산
313,KOSPI,014820,동원시스템즈
314,KOSPI,014825,동원시스템즈우
315,KOSPI,163560,동일고무벨트
316,KOSPI,004890,동일산업
317,KOSPI,002690,동일제강
318,KOSPI,000020,동화약품
319,KOSPI,000150,두산
320,KOSPI,000157,두산2우B
321,KOSPI,241560,두산밥캣
322,KOSPI,000155,두산우
323,KOSPI,042670,두산인프라코어
324,KOSPI,034020,두산중공업
325,KOSPI,336260,두산퓨얼셀
326,KOSPI,33626K,두산퓨얼셀1우
327,KOSPI,33626L,두산퓨얼셀2우B
328,KOSPI,016740,두올
329,KOSPI,192650,드림텍
330,KOSPI,024090,디씨엠
331,KOSPI,003160,디아이
332,KOSPI,092200,디아이씨
333,KOSPI,013570,디와이
334,KOSPI,210540,디와이파워
335,KOSPI,007340,디티알오토모티브
336,KOSPI,026890,디피씨
337,KOSPI,115390,락앤락
338,KOSPI,032350,롯데관광개발
339,KOSPI,089860,롯데렌탈
340,KOSPI,330590,롯데리츠
341,KOSPI,000400,롯데손해보험
342,KOSPI,023530,롯데쇼핑
343,KOSPI,004000,롯데정밀화학
344,KOSPI,286940,롯데정보통신
345,KOSPI,280360,롯데제과
346,KOSPI,004990,롯데지주
347,KOSPI,00499K,롯데지주우
348,KOSPI,005300,롯데칠성
349,KOSPI,005305,롯데칠성우
350,KOSPI,011170,롯데케미칼
351,KOSPI,002270,롯데푸드
352,KOSPI,071840,롯데하이마트
353,KOSPI,027740,마니커
354,KOSPI,204320,만도
355,KOSPI,001080,만호제강
356,KOSPI,088980,맥쿼리인프라
357,KOSPI,094800,맵스리얼티1
358,KOSPI,138040,메리츠금융지주
359,KOSPI,008560,메리츠증권
360,KOSPI,000060,메리츠화재
361,KOSPI,090370,메타랩스
362,KOSPI,017180,명문제약
363,KOSPI,009900,명신산업
364,KOSPI,012690,모나리자
365,KOSPI,005360,모나미
366,KOSPI,204210,모두투어리츠
367,KOSPI,009680,모토닉
368,KOSPI,009580,무림P&P
369,KOSPI,009200,무림페이퍼
370,KOSPI,033920,무학
371,KOSPI,008420,문배철강
372,KOSPI,025560,미래산업
373,KOSPI,007120,미래아이앤지
374,KOSPI,357250,미래에셋맵스리츠
375,KOSPI,085620,미래에셋생명
376,KOSPI,006800,미래에셋증권
377,KOSPI,00680K,미래에셋증권2우B
378,KOSPI,006805,미래에셋증권우
379,KOSPI,002840,미원상사
380,KOSPI,268280,미원에스씨
381,KOSPI,107590,미원홀딩스
382,KOSPI,134380,미원화학
383,KOSPI,003650,미창석유
384,KOSPI,155900,바다로19호
385,KOSPI,003610,방림
386,KOSPI,001340,백광산업
387,KOSPI,035150,백산
388,KOSPI,002410,범양건영
389,KOSPI,096300,베트남개발1
390,KOSPI,007210,벽산
391,KOSPI,002760,보락
392,KOSPI,003850,보령제약
393,KOSPI,000890,보해양조
394,KOSPI,003000,부광약품
395,KOSPI,001270,부국증권
396,KOSPI,001275,부국증권우
397,KOSPI,026940,부국철강
398,KOSPI,015350,부산가스
399,KOSPI,011390,부산산업
400,KOSPI,005030,부산주공
401,KOSPI,002070,비비안
402,KOSPI,100220,비상교육
403,KOSPI,030790,비케이탑스
404,KOSPI,005180,빙그레
405,KOSPI,003960,사조대림
406,KOSPI,008040,사조동아원
407,KOSPI,007160,사조산업
408,KOSPI,014710,사조씨푸드
409,KOSPI,006090,사조오양
410,KOSPI,001470,삼부토건
411,KOSPI,006400,삼성SDI
412,KOSPI,006405,삼성SDI우
413,KOSPI,006660,삼성공조
414,KOSPI,028260,삼성물산
415,KOSPI,02826K,삼성물산우B
416,KOSPI,207940,삼성바이오로직스
417,KOSPI,032830,삼성생명
418,KOSPI,018260,삼성에스디에스
419,KOSPI,028050,삼성엔지니어링
420,KOSPI,009150,삼성전기
421,KOSPI,009155,삼성전기우
422,KOSPI,005930,삼성전자
423,KOSPI,005935,삼성전자우
424,KOSPI,001360,삼성제약
425,KOSPI,010140,삼성중공업
426,KOSPI,010145,삼성중공우
427,KOSPI,016360,삼성증권
428,KOSPI,068290,삼성출판사
429,KOSPI,029780,삼성카드
430,KOSPI,000810,삼성화재
431,KOSPI,000815,삼성화재우
432,KOSPI,006110,삼아알미늄
433,KOSPI,145990,삼양사
434,KOSPI,145995,삼양사우
435,KOSPI,003230,삼양식품
436,KOSPI,002170,삼양통상
437,KOSPI,272550,삼양패키징
438,KOSPI,000070,삼양홀딩스
439,KOSPI,000075,삼양홀딩스우
440,KOSPI,002810,삼영무역
441,KOSPI,005680,삼영전자
442,KOSPI,003720,삼영화학
443,KOSPI,023000,삼원강재
444,KOSPI,004380,삼익THK
445,KOSPI,002450,삼익악기
446,KOSPI,004440,삼일씨엔에스
447,KOSPI,000520,삼일제약
448,KOSPI,009770,삼정펄프
449,KOSPI,005500,삼진제약
450,KOSPI,004690,삼천리
451,KOSPI,010960,삼호개발
452,KOSPI,004450,삼화왕관
453,KOSPI,009470,삼화전기
454,KOSPI,011230,삼화전자
455,KOSPI,001820,삼화콘덴서
456,KOSPI,000390,삼화페인트
457,KOSPI,001290,상상인증권
458,KOSPI,041650,상신브레이크
459,KOSPI,075180,새론오토모티브
460,KOSPI,007540,샘표
461,KOSPI,248170,샘표식품
462,KOSPI,007860,서연
463,KOSPI,200880,서연이화
464,KOSPI,017390,서울가스
465,KOSPI,004410,서울식품
466,KOSPI,004415,서울식품우
467,KOSPI,021050,서원
468,KOSPI,008490,서흥
469,KOSPI,007610,선도전기
470,KOSPI,136490,선진
471,KOSPI,014910,성문전자
472,KOSPI,014915,성문전자우
473,KOSPI,003080,성보화학
474,KOSPI,004980,성신양회
475,KOSPI,004985,성신양회우
476,KOSPI,011300,성안
477,KOSPI,000180,성창기업지주
478,KOSPI,002420,세기상사
479,KOSPI,004360,세방
480,KOSPI,004365,세방우
481,KOSPI,004490,세방전지
482,KOSPI,001430,세아베스틸
483,KOSPI,306200,세아제강
484,KOSPI,003030,세아제강지주
485,KOSPI,019440,세아특수강
486,KOSPI,058650,세아홀딩스
487,KOSPI,013000,세우글로벌
488,KOSPI,091090,세원이앤씨
489,KOSPI,021820,세원정공
490,KOSPI,067830,세이브존I&C
491,KOSPI,033530,세종공업
492,KOSPI,075580,세진중공업
493,KOSPI,027970,세하
494,KOSPI,308170,센트랄모텍
495,KOSPI,012600,센트럴인사이트
496,KOSPI,068270,셀트리온
497,KOSPI,336370,솔루스첨단소재
498,KOSPI,33637K,솔루스첨단소재1우
499,KOSPI,33637L,솔루스첨단소재2우B
500,KOSPI,248070,솔루엠
501,KOSPI,004430,송원산업
502,KOSPI,017550,수산중공업
503,KOSPI,053210,스카이라이프
504,KOSPI,134790,시디즈
505,KOSPI,016590,신대양제지
506,KOSPI,029530,신도리코
507,KOSPI,004970,신라교역
508,KOSPI,011930,신성이엔지
509,KOSPI,005390,신성통상
510,KOSPI,004170,신세계
511,KOSPI,035510,신세계 I&C
512,KOSPI,034300,신세계건설
513,KOSPI,031430,신세계인터내셔날
514,KOSPI,031440,신세계푸드
515,KOSPI,006880,신송홀딩스
516,KOSPI,005800,신영와코루
517,KOSPI,001720,신영증권
518,KOSPI,001725,신영증권우
519,KOSPI,009270,신원
520,KOSPI,009275,신원우
521,KOSPI,002700,신일전자
522,KOSPI,019170,신풍제약
523,KOSPI,019175,신풍제약우
524,KOSPI,002870,신풍제지
525,KOSPI,293940,신한알파리츠
526,KOSPI,055550,신한지주
527,KOSPI,004080,신흥
528,KOSPI,102280,쌍방울
529,KOSPI,003410,쌍용C&E
530,KOSPI,003620,쌍용차
531,KOSPI,004770,써니전자
532,KOSPI,015540,쎌마테라퓨틱스
533,KOSPI,004920,씨아이테크
534,KOSPI,112610,씨에스윈드
535,KOSPI,008700,아남전자
536,KOSPI,002790,아모레G
537,KOSPI,00279K,아모레G3우(전환)
538,KOSPI,002795,아모레G우
539,KOSPI,090430,아모레퍼시픽
540,KOSPI,090435,아모레퍼시픽우
541,KOSPI,002030,아세아
542,KOSPI,183190,아세아시멘트
543,KOSPI,002310,아세아제지
544,KOSPI,012170,아센디오
545,KOSPI,267850,아시아나IDT
